2025-06-06T05:48:46.807Z [AUDIT] Token created by 'anonymous': tokenId='e4ea4a61-ac26-4177-8f35-ee482c0d3dda', issuer='jfrou@01jx1wh7y9ea15mkrw2g95yms4', subject='jfrou@01jx1wh7y9ea15mkrw2g95yms4', expiry=none, refreshable=false
2025-06-06T06:10:32.897Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='9cf006f0-59c0-4972-a48f-71ac75defc49', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190352895, refreshable=false
2025-06-06T06:11:32.330Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='839b2a1f-15dd-4e98-b12c-f281911f765a', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190412327, refreshable=false
2025-06-06T06:11:32.438Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='c227854b-4ef3-4479-8a3e-73671b5f2216', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190412437, refreshable=false
2025-06-06T06:11:32.525Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='a4ed9d70-ae4d-4bf5-9139-17e5d9d668b5', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190412525, refreshable=false
2025-06-06T06:11:32.569Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='74761c75-fed4-4efe-b794-4d0c89d98618', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190412569, refreshable=false
2025-06-06T06:11:32.623Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='0994f5ea-61aa-47a0-ae5d-f408d6101a7d', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190412621, refreshable=false
2025-06-06T06:12:32.332Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='c7ee699d-9322-4b3a-8665-6e7f73e5729b', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190472330, refreshable=false
2025-06-06T06:12:32.406Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='3a32f6a8-433f-4f5a-8fda-6bfd66126961', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190472404, refreshable=false
2025-06-06T06:12:32.512Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='db455120-4140-4a70-b952-f50ef8f646e9', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190472510, refreshable=false
2025-06-06T06:12:32.630Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='850fdacf-fb18-4a02-a8fd-5b84290258ae', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190472629, refreshable=false
2025-06-06T06:12:32.731Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='029f0cbb-7519-4702-b57f-c9ff2af7b436', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190472728, refreshable=false
2025-06-06T06:13:32.329Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='1f4bdce0-9800-41ef-a637-30e4f03dcc0b', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190532327, refreshable=false
2025-06-06T06:13:32.421Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='c9a0c945-abc4-49a7-ad83-01b3e41c5928', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190532418, refreshable=false
2025-06-06T06:13:32.545Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='3d356d73-aecb-4ff4-ab82-861acb480a52', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190532543, refreshable=false
2025-06-06T06:13:32.654Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='0fc263e2-aed0-4f04-aad2-43a2b4efba2a', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190532653, refreshable=false
2025-06-06T06:13:32.764Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='10e26c8f-5432-4253-8e53-3a30cbf38744', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190532762, refreshable=false
2025-06-06T06:14:27.799Z [AUDIT] Token created by 'jfcfg@01jx1whbjf25v712c2mrk11s4z': tokenId='e2de938b-ac7b-417f-834a-74f3584999c3', issuer='jfcfg@01jx1whbjf25v712c2mrk11s4z', subject='jfcfg@01jx1whbjf25v712c2mrk11s4z', expiry=1749192267797, refreshable=false
2025-06-06T06:14:32.321Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='b8dcb4a7-adb7-49fd-979f-ce7edd64dda7', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190592320, refreshable=false
2025-06-06T06:14:32.368Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='6f074ebe-9256-431f-97ca-be47a2c28279', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190592367, refreshable=false
2025-06-06T06:14:32.430Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='a19bd23b-fcc9-4304-91d6-a81f1910fde9', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190592430, refreshable=false
2025-06-06T06:14:32.497Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='ccb6992f-b40b-451c-bf74-ebb250684481', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190592496, refreshable=false
2025-06-06T06:14:32.578Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='33c7570e-618f-4e3e-b6e1-88e466a80ce9', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190592578, refreshable=false
2025-06-06T06:15:19.575Z [AUDIT] Token created by 'jffe@01jx1whbjf25v712c2mrk11s4z': tokenId='9f4455e7-6f5a-48b0-93cf-e1b117c30c05', issuer='jffe@01jx1whbjf25v712c2mrk11s4z', subject='jffe@01jx1whbjf25v712c2mrk11s4z/users/jffe@01jx1whbjf25v712c2mrk11s4z', expiry=1749191119574, refreshable=false
2025-06-06T06:15:19.843Z [AUDIT] Token refreshed by 'jffe@01jx1whbjf25v712c2mrk11s4z': oldTokenId='9c96c73f-d219-4a10-bfb8-757d113bc243', tokenId='148e700e-a0b9-40f3-827a-bac2752b7497', issuer='jffe@01jx1whbjf25v712c2mrk11s4z', subject='jffe@01jx1whbjf25v712c2mrk11s4z/users/admin', expiry=1749192319837, refreshable=true
2025-06-06T06:15:32.332Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='7a969ff0-8539-4f2d-a952-b31895dfee7e', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190652328, refreshable=false
2025-06-06T06:15:32.434Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='58030a2e-fad9-4316-a510-5e52535c45e3', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190652430, refreshable=false
2025-06-06T06:15:32.515Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='2d4541e5-034d-41ef-9596-f1f84ec0b0ec', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190652513, refreshable=false
2025-06-06T06:15:32.592Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='972ab92e-e02c-44f8-bf44-1b98cdb498ff', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190652588, refreshable=false
2025-06-06T06:15:32.709Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='730291d7-6698-494d-a120-04b0a6132b61', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190652707, refreshable=false
2025-06-06T06:16:32.344Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='9b0d967c-2e2c-4ec1-95fc-2a2467347765', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190712340, refreshable=false
2025-06-06T06:16:32.527Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='37e1bcf0-3518-4a93-a9ee-cfb7717bd8ed', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190712524, refreshable=false
2025-06-06T06:16:32.643Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='418a9ad1-e890-4ef5-9a23-9125fd57bace', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190712641, refreshable=false
2025-06-06T06:16:32.703Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='d0aaf858-4d54-4d14-909e-4f3621b1db5c', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190712702, refreshable=false
2025-06-06T06:16:32.767Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='3b0788df-6183-47ed-b8f2-21b3634ae349', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190712766, refreshable=false
2025-06-06T06:17:27.843Z [AUDIT] Token created by 'jffe@01jx1whbjf25v712c2mrk11s4z': tokenId='e09dc459-3fca-4688-9164-ee16ff3398d7', issuer='jffe@01jx1whbjf25v712c2mrk11s4z', subject='jffe@01jx1whbjf25v712c2mrk11s4z/users/admin', expiry=1749191247840, refreshable=false
2025-06-06T06:17:32.332Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='a3656248-4e83-461d-ab3c-ef8133faab5a', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190772330, refreshable=false
2025-06-06T06:17:32.432Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='35dc610b-974d-463f-bb4d-73fded109923', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190772430, refreshable=false
2025-06-06T06:17:32.564Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='6f406a53-a18b-47a1-92e4-f68b399c670d', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190772563, refreshable=false
2025-06-06T06:17:32.675Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='60947c37-fc5c-449b-b90a-09146c3f76a0', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190772673, refreshable=false
2025-06-06T06:17:32.817Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='af01c81d-9238-4aed-81c0-26e9c7917518', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190772814, refreshable=false
2025-06-06T06:18:39.537Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='a51836a0-e3a4-4e02-8a89-2a716884e9d6', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190839260, refreshable=false
2025-06-06T06:18:44.496Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='9e411015-27f3-4558-993a-e6499cac3e84', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190844495, refreshable=false
2025-06-06T06:18:44.564Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='858dd42c-6118-4eb9-a89e-1e50e642e119', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190844563, refreshable=false
2025-06-06T06:18:44.624Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='6f028dd3-67bc-45f4-9e5b-83b9888b97db', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190844624, refreshable=false
2025-06-06T06:18:44.682Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='f559ba5e-46fe-4b1a-8815-ca76a4f5194a', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190844681, refreshable=false
2025-06-06T06:18:55.737Z [AUDIT] Token created by 'jfcon@01jx1whbjf25v712c2mrk11s4z': tokenId='ac843f34-d44a-430a-b634-e6ad86d836d7', issuer='jfcon@01jx1whbjf25v712c2mrk11s4z', subject='jfcon@01jx1whbjf25v712c2mrk11s4z', expiry=1749194335721, refreshable=true
2025-06-06T06:19:32.339Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='706ddb77-171a-450e-a677-821ac2c09471', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892337, refreshable=false
2025-06-06T06:19:32.415Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='bc4a4d0c-a889-41a1-8753-6d632e786352', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892413, refreshable=false
2025-06-06T06:19:32.527Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='ae24eb6c-9f91-479e-94d6-c5bded9cc9d0', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892525, refreshable=false
2025-06-06T06:19:32.623Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='994be909-1583-4c6d-8391-aaa5c0d4dcde', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892622, refreshable=false
2025-06-06T06:19:32.707Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='4d9c4189-8c5c-4ae8-8020-3e13344a6a94', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892706, refreshable=false
2025-06-06T06:19:32.774Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='fc073ff2-fefc-4aa2-b63e-3862fd72582f', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892773, refreshable=false
2025-06-06T06:19:32.837Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='a5bb5fa1-9384-4e83-ad05-827040ed2f35', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892836, refreshable=false
2025-06-06T06:19:32.989Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='dd126d2b-f8b4-452e-9fb2-21386e3643b8', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190892988, refreshable=false
2025-06-06T06:19:33.032Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='5421829f-5f6e-4a6d-9717-e23dbdb5b82f', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190893031, refreshable=false
2025-06-06T06:20:32.337Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='b75e41fd-14d0-480a-83d2-a0c6e948cfef', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952335, refreshable=false
2025-06-06T06:20:32.415Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='6629a47f-b637-4734-97de-1bd994bccbe8', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952411, refreshable=false
2025-06-06T06:20:32.514Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='25678a42-5279-4860-a4c2-d2d9a0c157bd', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952513, refreshable=false
2025-06-06T06:20:32.597Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='194e8ee9-10fc-4bdd-b89e-c91f16392f6d', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952595, refreshable=false
2025-06-06T06:20:32.692Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='2426327d-b401-49ee-b42e-642065feca2f', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952691, refreshable=false
2025-06-06T06:20:32.791Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='4318d7f2-3ee5-41f6-80c6-6c17b7a7c8f0', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952790, refreshable=false
2025-06-06T06:20:32.863Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='ee990918-6bc4-4ea7-9b60-9bac3aeb7f02', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952863, refreshable=false
2025-06-06T06:20:32.908Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='6f1b119b-cb0c-448b-86b8-d8a15d89ec7d', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952907, refreshable=false
2025-06-06T06:20:32.949Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='58898b0d-1260-4b20-83f1-a016fa22b836', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749190952948, refreshable=false
2025-06-06T06:21:32.327Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='9e599987-4b39-466f-b6a9-ba9452048ecf', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012326, refreshable=false
2025-06-06T06:21:32.404Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='d4eeb34e-eecb-48ce-91c7-603523542988', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012402, refreshable=false
2025-06-06T06:21:32.502Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='75a60d57-b7b5-4c37-a86e-aeae341334d7', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012500, refreshable=false
2025-06-06T06:21:32.598Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='b6b2d8f2-b74f-47bc-9852-e3343716cea6', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012595, refreshable=false
2025-06-06T06:21:32.689Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='5fd06c24-b114-4a6b-85ed-cf959498c3c3', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012688, refreshable=false
2025-06-06T06:21:32.742Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='c3961a5c-fdb1-4d7d-8420-c903a06212fa', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012742, refreshable=false
2025-06-06T06:21:32.775Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='2d06c6da-59b1-4de9-8dc7-d2836c50704d', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012775, refreshable=false
2025-06-06T06:21:32.816Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='5f894e34-c5d1-427c-9643-29416397c713', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012815, refreshable=false
2025-06-06T06:21:32.852Z [AUDIT] Token created by 'jfob@01jx1wjw17758y190rcvsn042n': tokenId='c86390a4-25bd-4180-b9b6-c4a71fefec09', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=1749191012852, refreshable=false
2025-06-06T06:24:24.318Z [AUDIT] Token created by 'anonymous': tokenId='fc83a408-b252-407b-b092-5ff202df6634', issuer='jfrou@01jx1wh7y9ea15mkrw2g95yms4', subject='jfrou@01jx1wh7y9ea15mkrw2g95yms4', expiry=none, refreshable=false
2025-06-06T06:24:24.360Z [AUDIT] Token revoked by 'anonymous': tokenId='e4ea4a61-ac26-4177-8f35-ee482c0d3dda', issuer='jfrou@01jx1wh7y9ea15mkrw2g95yms4', subject='jfrou@01jx1wh7y9ea15mkrw2g95yms4', expiry=none, refreshable=false
2025-06-06T06:24:25.446Z [AUDIT] Token created by 'jfrou@01jx1wh7y9ea15mkrw2g95yms4': tokenId='0cd7ce55-d78c-4dcd-b108-6ffcce28364e', issuer='jfrou@01jx1wh7y9ea15mkrw2g95yms4', subject='jfrou@01jx1wh7y9ea15mkrw2g95yms4', expiry=1749198265445, refreshable=false
2025-06-06T06:24:26.227Z [AUDIT] Token created by 'anonymous': tokenId='9c03fffb-e839-4cea-9e0b-87130cf3cad1', issuer='jfmd@01jx1yh0p432zmn8skcv377qy6', subject='jfmd@01jx1yh0p432zmn8skcv377qy6', expiry=none, refreshable=false
2025-06-06T06:24:26.281Z [AUDIT] Token revoked by 'anonymous': tokenId='7811ad15-2846-457a-a6e5-d3d7429d79ad', issuer='jfmd@01jx1wha30ve8065w47xrewdc8', subject='jfmd@01jx1wha30ve8065w47xrewdc8', expiry=none, refreshable=false
2025-06-06T06:24:26.436Z [AUDIT] Token created by 'anonymous': tokenId='7b59ee42-fc6b-4740-bd49-c690cdebe589', issuer='jfevt@01jx1whbjf25v712c2mrk11s4z', subject='jfevt@01jx1whbjf25v712c2mrk11s4z', expiry=none, refreshable=false
2025-06-06T06:24:26.463Z [AUDIT] Token revoked by 'anonymous': tokenId='b53f38a8-fd21-4f81-9579-d9aa918d49fe', issuer='jfevt@01jx1whbjf25v712c2mrk11s4z', subject='jfevt@01jx1whbjf25v712c2mrk11s4z', expiry=none, refreshable=false
2025-06-06T06:24:26.602Z [AUDIT] Token created by 'anonymous': tokenId='0993a71e-2dd7-4811-9d25-593815285068', issuer='jfrt@01jx1wjw17758y190rcvsn042n', subject='jfrt@01jx1wjw17758y190rcvsn042n', expiry=none, refreshable=false
2025-06-06T06:24:26.619Z [AUDIT] Token revoked by 'anonymous': tokenId='1ac83f87-9947-42f9-b01d-f0f36cfe1bff', issuer='jfrt@01jx1wjw17758y190rcvsn042n', subject='jfrt@01jx1wjw17758y190rcvsn042n', expiry=none, refreshable=false
2025-06-06T06:24:27.081Z [AUDIT] Token created by 'anonymous': tokenId='cf1d5bf3-7173-4261-9858-d94b32854dc5', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=none, refreshable=false
2025-06-06T06:24:27.135Z [AUDIT] Token revoked by 'anonymous': tokenId='331469b8-c0f8-435b-8b93-531c7e540858', issuer='jfob@01jx1wjw17758y190rcvsn042n', subject='jfob@01jx1wjw17758y190rcvsn042n', expiry=none, refreshable=false
2025-06-06T06:24:27.705Z [AUDIT] Token created by 'anonymous': tokenId='88300920-0755-4050-a6a4-067ffa33a09d', issuer='jfac@01jx1whbjf25v712c2mrk11s4z', subject='jfac@01jx1whbjf25v712c2mrk11s4z', expiry=1749194667704, refreshable=false
2025-06-06T06:24:48.341Z [AUDIT] Token created by 'anonymous': tokenId='be040934-cb0e-4e39-a046-099d634625cd', issuer='jftpl@01jx1wgjjd55xs021h1peq1z3x', subject='jftpl@01jx1wgjjd55xs021h1peq1z3x', expiry=none, refreshable=false
2025-06-06T06:24:53.742Z [AUDIT] Token created by 'anonymous': tokenId='afb810d2-40c7-478a-b304-0c59c01830b2', issuer='jfcfg@01jx1whbjf25v712c2mrk11s4z', subject='jfcfg@01jx1whbjf25v712c2mrk11s4z', expiry=none, refreshable=false
2025-06-06T06:24:53.779Z [AUDIT] Token revoked by 'anonymous': tokenId='6832bda3-997b-4867-a069-833166eb8768', issuer='jfcfg@01jx1whbjf25v712c2mrk11s4z', subject='jfcfg@01jx1whbjf25v712c2mrk11s4z', expiry=none, refreshable=false
2025-06-06T06:24:56.073Z [AUDIT] Token created by 'jfcfg@01jx1whbjf25v712c2mrk11s4z': tokenId='26076bce-cf29-4504-9ce3-9c2eff90a8b4', issuer='jfcfg@01jx1whbjf25v712c2mrk11s4z', subject='jfcfg@01jx1whbjf25v712c2mrk11s4z', expiry=1749192896072, refreshable=false
2025-06-06T06:24:56.073Z [AUDIT] Token created by 'jfcfg@01jx1whbjf25v712c2mrk11s4z': tokenId='b073d948-028e-4b29-9fae-9917cd94ea9c', issuer='jfcfg@01jx1whbjf25v712c2mrk11s4z', subject='jfcfg@01jx1whbjf25v712c2mrk11s4z', expiry=1749192896072, refreshable=false
